day,weather,high_temp,low_temp,wind
2020/4/11,阴/晴,22℃,10℃,无持续风向1-2级
2020/4/12,阴/小雨,22℃,12℃,无持续风向1-2级
2020/4/13,小雨/晴,17℃,11℃,无持续风向1-2级
2020/4/14,多云/多云,21℃,12℃,无持续风向1-2级
2020/4/15,多云/多云,25℃,14℃,无持续风向1-2级
2020/4/16,阴/阴,27℃,17℃,无持续风向1-2级
2020/4/17,阴/多云,25℃,14℃,无持续风向1-2级
2020/4/18,多云/多云,23℃,14℃,无持续风向1-2级
2020/4/19,阴/小雨,22℃,14℃,无持续风向1-2级
2020/4/20,阴/阴,21℃,13℃,无持续风向1-2级
2020/4/21,阴/阴,17℃,10℃,无持续风向1-2级
2020/4/22,阴/小雨,16℃,9℃,无持续风向1-2级
2020/4/23,阴/阴,16℃,9℃,无持续风向1-2级
2020/4/24,多云/阴,23℃,10℃,无持续风向1-2级
2020/4/25,多云/多云,23℃,12℃,无持续风向1-2级
2020/4/26,多云/晴,28℃,15℃,无持续风向1-2级
2020/4/27,晴/晴,31℃,15℃,无持续风向1-2级
2020/4/28,晴/阴,30℃,17℃,无持续风向1-2级
2020/4/29,阴/阴,28℃,17℃,无持续风向1-2级
2020/4/30,多云/多云,30℃,18℃,无持续风向1-2级
2020/5/1,多云/晴,31℃,18℃,无持续风向1-2级
2020/5/2,晴/晴,34℃,19℃,无持续风向1-2级
2020/5/3,多云/阴,34℃,21℃,无持续风向1-2级
2020/5/4,多云/多云,31℃,21℃,无持续风向1-2级
2020/5/5,多云/阴,31℃,21℃,无持续风向1-2级
2020/5/6,多云/小雨,29℃,21℃,无持续风向1-2级
2020/5/7,中雨/阴,27℃,20℃,无持续风向1-2级
2020/5/8,阴/阴,26℃,17℃,无持续风向1-2级
2020/5/9,多云/多云,24℃,15℃,无持续风向1-2级
2020/5/10,多云/小雨,28℃,17℃,无持续风向1-2级
2020/5/11,多云/阴,27℃,16℃,无持续风向1-2级
2020/5/12,阴/多云,26℃,14℃,无持续风向1-2级
2020/5/13,多云/小雨,25℃,15℃,无持续风向1-2级
2020/5/14,多云/多云,28℃,17℃,无持续风向1-2级
2020/5/15,多云/小雨,30℃,19℃,无持续风向1-2级
2020/5/16,多云/多云,30℃,20℃,无持续风向1-2级
2020/5/17,晴/晴,34℃,20℃,无持续风向1-2级
2020/5/18,多云/多云,34℃,20℃,无持续风向1-2级
2020/5/19,多云/小雨,32℃,19℃,无持续风向1-2级
2020/5/20,多云/小雨,29℃,20℃,无持续风向1-2级
2020/5/21,小雨/阴,25℃,20℃,无持续风向1-2级
2020/5/22,阴/阴,31℃,20℃,无持续风向1-2级
2020/5/23,多云/小雨,32℃,19℃,无持续风向1-2级
2020/5/24,小雨/小雨,20℃,16℃,东北风3-4级
2020/5/25,阴/多云,25℃,17℃,无持续风向1-2级
2020/5/26,阴/小雨,26℃,17℃,无持续风向1-2级
2020/5/27,阴/阴,23℃,16℃,无持续风向1-2级
2020/5/28,多云/多云,25℃,15℃,无持续风向1-2级
2020/5/29,晴/晴,30℃,17℃,无持续风向1-2级
2020/5/30,多云/阴,30℃,19℃,无持续风向1-2级
2020/5/31,多云/晴,30℃,20℃,无持续风向1-2级
2020/6/1,阵雨/阵雨,28℃,18℃,无持续风向1-2级
2020/6/2,多云/多云,25℃,18℃,无持续风向1-2级
2020/6/3,多云/多云,29℃,18℃,无持续风向1-2级
2020/6/4,多云/多云,30℃,19℃,无持续风向1-2级
2020/6/5,多云/阴,33℃,21℃,无持续风向1-2级
2020/6/6,阴/阵雨,31℃,20℃,无持续风向1-2级
2020/6/7,阵雨/阵雨,29℃,21℃,无持续风向1-2级
2020/6/8,阵雨/阴,25℃,20℃,无持续风向1-2级
2020/6/9,多云/多云,31℃,20℃,无持续风向1-2级
2020/6/10,多云/阴,29℃,20℃,无持续风向1-2级
2020/6/11,阴/多云,29℃,22℃,无持续风向1-2级
2020/6/12,阴/阴,31℃,23℃,无持续风向1-2级
2020/6/13,阵雨/多云,31℃,23℃,无持续风向1-2级
2020/6/14,多云/多云,32℃,22℃,无持续风向1-2级
2020/6/15,多云/大雨,31℃,22℃,无持续风向1-2级
2020/6/16,小雨/大雨,29℃,20℃,无持续风向1-2级
2020/6/17,小雨/多云,27℃,21℃,无持续风向1-2级
2020/6/18,多云/多云,31℃,21℃,无持续风向1-2级
2020/6/19,多云/阴,30℃,21℃,无持续风向1-2级
2020/6/20,阵雨/阴,28℃,21℃,无持续风向1-2级
2020/6/21,阵雨/阵雨,28℃,21℃,无持续风向1-2级
2020/6/22,阵雨/阴,28℃,22℃,无持续风向1-2级
2020/6/23,阵雨/多云,31℃,22℃,无持续风向1-2级
2020/6/24,晴/晴,33℃,23℃,无持续风向1-2级
2020/6/25,多云/阴,33℃,23℃,无持续风向1-2级
2020/6/26,阵雨/大雨,31℃,20℃,无持续风向1-2级
2020/6/27,阵雨/阵雨,29℃,21℃,无持续风向1-2级
