20200101,1
20200102,0
20200103,0
20200104,1
20200105,1
20200106,0
20200107,0
20200108,0
20200109,0
20200110,0
20200111,1
20200112,1
20200113,0
20200114,0
20200115,0
20200116,0
20200117,0
20200118,1
20200119,1
20200120,0
20200121,0
20200122,0
20200123,0
20200124,1
20200125,1
20200126,0
20200127,0
20200128,0
20200129,0
20200130,0
20200131,1
20200201,1
20200202,0
20200203,0
20200204,1
20200205,1
20200206,1
20200207,1
20200208,1
20200209,1
20200210,1
20200211,0
20200212,0
20200213,0
20200214,0
20200215,1
20200216,1
20200217,0
20200218,0
20200219,0
20200220,0
20200221,0
20200222,1
20200223,1
20200224,0
20200225,0
20200226,0
20200227,0
20200228,0
20200229,1
20200301,1
20200302,1
20200303,0
20200304,0
20200305,0
20200306,0
20200307,0
20200308,1
20200309,1
20200310,0
20200311,0
20200312,0
20200313,0
20200314,0
20200315,1
20200316,1
20200317,0
20200318,0
20200319,0
20200320,0
20200321,0
20200322,1
20200323,1
20200324,0
20200325,0
20200326,0
20200327,0
20200328,0
20200329,1
20200330,1
20200331,0
20200401,0
20200402,0
20200403,0
20200404,0
20200405,1
20200406,1
20200407,1
20200408,0
20200409,0
20200410,0
20200411,1
20200412,1
20200413,0
20200414,0
20200415,0
20200416,0
20200417,0
20200418,1
20200419,1
20200420,0
20200421,0
20200422,0
20200423,0
20200424,0
20200425,1
20200426,1
20200427,0
20200428,0
20200429,0
20200430,0
20200501,1
20200502,1
20200503,1
20200504,1
20200505,0
20200506,0
20200507,0
20200508,0
20200509,1
20200510,1
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,1
20200517,1
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,1
20200524,1
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,1
20200531,1
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,1
20200607,1
20200608,1
20200609,1
20200610,0
20200611,0
20200612,0
20200613,1
20200614,1
20200615,0
20200616,0
20200617,0
20200618,0
20200619,0
20200620,1
20200621,1
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,1
20200628,1
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,1
20200705,1
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,1
20200712,1
20200713,0
20200714,0
20200715,0
20200716,0
20200717,0
20200718,1
20200719,1
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,1
20200726,1
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,1
20200802,1
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,1
20200809,1
20200810,0
20200811,0
20200812,0
20200813,0
20200814,0
20200815,1
20200816,1
20200817,0
20200818,0
20200819,0
20200820,0
20200821,0
20200822,1
20200823,1
20200824,0
20200825,0
20200826,0
20200827,0
20200828,0
20200829,1
20200830,1
20200831,0
20200901,0
20200902,0
20200903,0
20200904,0
20200905,1
20200906,1
20200907,0
20200908,0
20200909,0
20200910,0
20200911,0
20200912,0
20200913,1
20200914,1
20200915,1
20200916,0
20200917,0
20200918,0
20200919,0
20200920,1
20200921,1
20200922,0
20200923,0
20200924,0
20200925,0
20200926,0
20200927,1
20200928,1
20200929,0
20200930,0
20201001,1
20201002,1
20201003,1
20201004,1
20201005,1
20201006,1
20201007,1
20201008,0
20201009,0
20201010,1
20201011,1
20201012,0
20201013,0
20201014,0
20201015,0
20201016,0
20201017,1
20201018,1
20201019,0
20201020,0
20201021,0
20201022,0
20201023,0
20201024,1
20201025,1
20201026,0
20201027,0
20201028,0
20201029,0
20201030,0
20201031,1
20201101,1
20201102,0
20201103,0
20201104,0
20201105,0
20201106,0
20201107,1
20201108,1
20201109,0
20201110,0
20201111,0
20201112,0
20201113,0
20201114,1
20201115,1
20201116,0
20201117,0
20201118,0
20201119,0
20201120,0
20201121,1
20201122,1
20201123,0
20201124,0
20201125,0
20201126,0
20201127,0
20201128,1
20201129,1
20201130,0
20201201,0
20201202,0
20201203,0
20201204,0
20201205,1
20201206,1
20201207,0
20201208,0
20201209,0
20201210,0
20201211,0
20201212,1
20201213,1
20201214,0
20201215,0
20201216,0
20201217,0
20201218,0
20201219,1
20201220,1
20201221,0
20201222,0
20201223,0
20201224,0
20201225,0
20201226,1
20201227,1
20201228,0
20201229,0
20201230,0
20201231,0
