day,weather,high_temp,low_temp,mean_temp
2020/4/27,«Á,31°Ê,15°Ê,23
2020/4/28,«Á,30°Ê,17°Ê,23
2020/4/29,“ı,28°Ê,17°Ê,22
2020/4/30,∂‡‘∆,30°Ê,18°Ê,24
2020/5/1,∂‡‘∆,31°Ê,18°Ê,24
2020/5/2,«Á,34°Ê,19°Ê,26
2020/5/3,∂‡‘∆,34°Ê,21°Ê,27
2020/5/4,∂‡‘∆,31°Ê,21°Ê,26
2020/5/5,∂‡‘∆,31°Ê,21°Ê,26
2020/5/6,∂‡‘∆,29°Ê,21°Ê,25
2020/5/7,÷–”Í,27°Ê,20°Ê,23
2020/5/8,“ı,26°Ê,17°Ê,21
2020/5/9,∂‡‘∆,24°Ê,15°Ê,19
2020/5/10,∂‡‘∆,28°Ê,17°Ê,22
2020/5/11,∂‡‘∆,27°Ê,16°Ê,21
2020/5/12,“ı,26°Ê,14°Ê,20
2020/5/13,∂‡‘∆,25°Ê,15°Ê,20
2020/5/14,∂‡‘∆,28°Ê,17°Ê,22
2020/5/15,∂‡‘∆,30°Ê,19°Ê,24
2020/5/16,∂‡‘∆,30°Ê,20°Ê,25
2020/5/17,«Á,34°Ê,20°Ê,27
2020/5/18,∂‡‘∆,34°Ê,20°Ê,27
2020/5/19,∂‡‘∆,32°Ê,19°Ê,25
2020/5/20,∂‡‘∆,29°Ê,20°Ê,24
2020/5/21,–°”Í,25°Ê,20°Ê,22
2020/5/22,“ı,31°Ê,20°Ê,25
2020/5/23,∂‡‘∆,32°Ê,19°Ê,25
2020/5/24,–°”Í,20°Ê,16°Ê,18
2020/5/25,“ı,25°Ê,17°Ê,21
2020/5/26,“ı,26°Ê,17°Ê,21
2020/5/27,“ı,23°Ê,16°Ê,19
2020/5/28,∂‡‘∆,25°Ê,15°Ê,20
2020/5/29,«Á,30°Ê,17°Ê,23
2020/5/30,∂‡‘∆,30°Ê,19°Ê,24
2020/5/31,∂‡‘∆,30°Ê,20°Ê,25
2020/6/1,’Û”Í,28°Ê,18°Ê,23
2020/6/2,∂‡‘∆,25°Ê,18°Ê,21
2020/6/3,∂‡‘∆,29°Ê,18°Ê,23
2020/6/4,∂‡‘∆,30°Ê,19°Ê,24
2020/6/5,∂‡‘∆,33°Ê,21°Ê,27
2020/6/6,“ı,31°Ê,20°Ê,25
2020/6/7,’Û”Í,29°Ê,21°Ê,25
2020/6/8,’Û”Í,25°Ê,20°Ê,22
2020/6/9,∂‡‘∆,31°Ê,20°Ê,25
2020/6/10,∂‡‘∆,29°Ê,20°Ê,24
2020/6/11,“ı,29°Ê,22°Ê,25
2020/6/12,“ı,31°Ê,23°Ê,27
2020/6/13,’Û”Í,31°Ê,23°Ê,27
2020/6/14,∂‡‘∆,32°Ê,22°Ê,27
2020/6/15,∂‡‘∆,31°Ê,22°Ê,26
2020/6/16,–°”Í,29°Ê,20°Ê,24
2020/6/17,–°”Í,27°Ê,21°Ê,24
2020/6/18,∂‡‘∆,31°Ê,21°Ê,26
2020/6/19,∂‡‘∆,30°Ê,21°Ê,25
2020/6/20,’Û”Í,28°Ê,21°Ê,24
2020/6/21,’Û”Í,28°Ê,21°Ê,24
2020/6/22,’Û”Í,28°Ê,22°Ê,25
2020/6/23,’Û”Í,31°Ê,22°Ê,26
2020/6/24,«Á,33°Ê,23°Ê,28
2020/6/25,∂‡‘∆,33°Ê,23°Ê,28
2020/6/26,’Û”Í,31°Ê,20°Ê,25
2020/6/27,’Û”Í,29°Ê,21°Ê,25
2020/6/28,“ı,31°Ê,23°Ê,27
2020/6/29,∂‡‘∆,32°Ê,23°Ê,27
2020/6/30,∂‡‘∆,34°Ê,23°Ê,28
2020/7/1,±©”Í,27°Ê,21°Ê,24
2020/7/2,∂‡‘∆,33°Ê,22°Ê,27
2020/7/3,∂‡‘∆,33°Ê,22°Ê,27
2020/7/4,’Û”Í,28°Ê,22°Ê,25
2020/7/5,“ı,30°Ê,22°Ê,26
2020/7/6,“ı,30°Ê,22°Ê,26
2020/7/7,∂‡‘∆,33°Ê,23°Ê,28
2020/7/8,’Û”Í,33°Ê,24°Ê,28
2020/7/9,’Û”Í,33°Ê,22°Ê,27
2020/7/10,’Û”Í,26°Ê,21°Ê,23
2020/7/11,“ı,29°Ê,21°Ê,25
2020/7/12,∂‡‘∆,31°Ê,22°Ê,26
2020/7/13,’Û”Í,30°Ê,22°Ê,26
2020/7/14,–°”Í,31°Ê,23°Ê,27
2020/7/15,¥Û”Í,28°Ê,22°Ê,25
2020/7/16,’Û”Í,28°Ê,23°Ê,25
2020/7/17,“ı,33°Ê,24°Ê,28
2020/7/18,’Û”Í,32°Ê,22°Ê,27
2020/7/19,∂‡‘∆,33°Ê,22°Ê,27
2020/7/20,“ı,29°Ê,19°Ê,24
2020/7/21,’Û”Í,25°Ê,20°Ê,22
2020/7/22,’Û”Í,29°Ê,21°Ê,25
